INDV	N_SITES	MEAN_DEPTH
AB1	2034479	39.177
BRC20067	2034498	41.6492
BRC20263	2034337	34.507
CB4851	2034518	47.2301
CB4852	2034501	48.5451
CB4853	2034484	53.3554
CB4854	2034474	31.1527
CB4855	2034469	40.7304
CB4856	2034437	55.0545
CB4857	2034493	47.5864
CB4858	2034458	67.3212
CB4932	2034506	52.5634
CX11254	2034429	35.5349
CX11262	2034381	33.1512
CX11264	2034480	65.4823
CX11271	2034492	42.0221
CX11276	2034419	33.8123
CX11285	2034458	59.4311
CX11292	2034492	51.5852
CX11307	2034435	38.3114
CX11314	2034405	38.7421
CX11315	2034435	34.6784
DL200	2034466	30.7939
DL226	2034418	44.7531
DL238	2034434	66.2622
ECA189	2034434	66.6422
ECA191	2034278	34.266
ECA252	2034517	44.7382
ECA347	2034320	37.4817
ECA348	2034408	42.5037
ECA349	2034456	41.8105
ECA36	2034232	29.9558
ECA363	2034248	37.3277
ECA369	2034006	26.421
ECA372	2034351	35.5698
ECA396	2034371	72.1436
ECA592	2034397	36.9606
ECA593	2034355	36.7303
ECA594	2034392	37.032
ECA640	2034373	34.1259
ECA701	2034143	49.4936
ECA703	2034338	27.9476
ECA705	2034363	51.8878
ECA706	2034339	33.1185
ECA710	2034360	34.3703
ECA712	2034428	68.0184
ECA722	2034297	35.575
ECA723	2034390	73.0812
ECA724	2034349	71.6848
ECA730	2034299	29.2924
ECA732	2034326	30.2653
ECA733	2034395	52.5959
ECA738	2034404	67.4849
ECA740	2034194	29.2965
ECA741	2034203	30.7418
ECA742	2034230	33.3232
ECA743	2034358	31.089
ECA744	2034251	28.4301
ECA745	2034350	58.7567
ECA746	2034269	32.5428
ECA760	2034443	67.3896
ECA768	2034388	48.4665
ECA777	2034360	32.2612
ECA778	2034429	69.4635
ECA807	2034402	67.9338
ECA812	2034422	68.0891
ECA923	2034397	53.7291
ECA928	2034374	44.8201
ECA930	2034343	28.6776
ED3005	2034462	40.5605
ED3011	2034421	32.6313
ED3012	2034482	37.6924
ED3017	2034511	55.6056
ED3040	2034485	55.741
ED3046	2034484	57.0464
ED3048	2034493	35.6284
ED3049	2034477	59.191
ED3052	2034475	38.8941
ED3073	2034482	55.4253
ED3077	2034476	55.075
EG4347	2034494	31.6195
EG4349	2034402	31.6159
EG4724	2034471	55.9599
EG4725	2034363	39.98
EG4946	2034490	52.807
GXW1	2034491	42.573
JT11398	2034500	39.492
JU1088	2034444	33.5358
JU1172	2034455	33.9008
JU1200	2034519	49.9163
JU1212	2034443	29.1846
JU1213	2034447	55.0189
JU1242	2034496	37.2002
JU1246	2034467	34.4344
JU1249	2034504	35.5734
JU1395	2034512	48.4384
JU1400	2034449	50.0613
JU1409	2034512	46.643
JU1440	2034495	48.4259
JU1491	2034482	56.9055
JU1530	2034510	57.5304
JU1543	2034512	32.0686
JU1568	2034517	36.3821
JU1580	2034508	63.9682
JU1581	2034502	59.9601
JU1586	2034513	48.997
JU1652	2034414	27.2615
JU1666	2034490	44.6206
JU1792	2034486	36.8435
JU1793	2034415	58.9672
JU1808	2034476	33.2886
JU1896	2034477	41.8352
JU1934	2034465	36.0784
JU2001	2034444	55.6302
JU2007	2034495	55.7316
JU2016	2034436	33.1813
JU2017	2034426	32.5728
JU2106	2034388	34.6538
JU2131	2034411	28.296
JU2141	2034478	32.1216
JU2234	2034471	35.4287
JU2250	2034464	30.1869
JU2257	2034514	39.9267
JU2316	2034433	42.2761
JU2464	2034477	49.6171
JU2466	2034489	40.928
JU2478	2034491	37.7606
JU2513	2034439	31.5419
JU2519	2034465	37.9935
JU2522	2034452	31.941
JU2526	2034298	28.0005
JU2534	2034493	41.4313
JU2565	2034515	28.9539
JU2566	2034517	35.058
JU2570	2034457	37.0504
JU2572	2034502	42.7113
JU2575	2034506	33.8428
JU2576	2034445	37.0098
JU2578	2034410	33.0951
JU258	2034405	51.6492
JU2581	2034377	27.8174
JU2586	2034383	33.3251
JU2587	2034347	28.1179
JU2592	2034451	33.2426
JU2593	2034438	38.3606
JU2600	2034478	56.379
JU2610	2034429	37.1781
JU2619	2034427	35.1777
JU2800	2034503	53.5387
JU2811	2034349	31.8162
JU2825	2034462	38.3572
JU2829	2034471	54.6234
JU2838	2034458	37.6913
JU2841	2034407	32.5236
JU2853	2034504	37.877
JU2862	2034452	35.5438
JU2866	2034421	38.9936
JU2878	2034465	47.6374
JU2879	2034416	42.9824
JU2906	2034474	27.9369
JU2907	2034516	40.5833
JU310	2034504	50.6176
JU311	2034494	49.7447
JU3125	2034423	35.6347
JU3127	2034401	28.5494
JU3128	2034458	28.2872
JU3132	2034462	42.6036
JU3134	2034405	38.8511
JU3135	2034396	26.4764
JU3137	2034441	33.4369
JU3140	2034450	40.977
JU3141	2034483	38.8852
JU3144	2034398	26.9364
JU3166	2034409	39.738
JU3167	2034293	33.0928
JU3169	2034391	35.7747
JU3224	2034239	21.6758
JU3225	2034425	27.4494
JU3226	2033994	23.7846
JU3228	2034406	47.7232
JU323	2034466	46.1479
JU3280	2034411	29.5994
JU3282	2034394	31.6048
JU3291	2034398	32.7307
JU346	2034490	54.9501
JU360	2034486	53.546
JU367	2034507	36.5233
JU393	2034412	31.5536
JU394	2034506	36.0858
JU397	2034486	37.4138
JU406	2034503	35.1375
JU440	2034514	40.2985
JU561	2034447	32.5415
JU642	2034504	46.3618
JU751	2034449	40.2156
JU774	2034410	47.0808
JU775	2034462	42.7768
JU778	2034471	45.5123
JU782	2034472	63.4778
JU792	2034500	57.669
JU830	2034420	37.2631
JU847	2034446	27.4543
KR314	2034459	36.8549
LKC34	2034479	40.5022
LSJ1	2034519	44.2279
MY1	2034480	54.6823
MY10	2034462	44.5143
MY16	2034439	43.9025
MY18	2034476	51.9502
MY2147	2034496	44.3091
MY2212	2034434	35.3933
MY23	2034437	58.6814
MY2453	2034495	60.4958
MY2530	2034449	30.1222
MY2535	2034497	49.0911
MY2573	2034514	53.3919
MY2585	2034461	43.8621
MY2693	2034456	48.4367
MY2713	2034460	50.3169
MY2741	2034444	53.2138
MY518	2034437	29.7076
MY679	2034385	36.9687
MY772	2034489	39.8639
MY795	2034462	54.6289
MY920	2034503	53.1922
N2	2034519	38.1179
NIC1	2034477	41.2123
NIC1049	2034492	31.8884
NIC1107	2034509	39.0602
NIC1119	2034394	37.259
NIC166	2034456	28.0017
NIC195	2034437	53.3648
NIC199	2034394	48.9437
NIC2	2034513	39.942
NIC207	2034512	32.4492
NIC231	2034500	46.8712
NIC236	2034454	40.3292
NIC242	2034455	28.3751
NIC251	2034274	29.2364
NIC252	2034443	40.4163
NIC255	2034452	28.0793
NIC256	2034313	35.465
NIC258	2034266	28.1632
NIC259	2034458	40.1085
NIC260	2034402	44.6641
NIC261	2034319	31.3967
NIC262	2034314	27.9444
NIC265	2034437	44.1251
NIC266	2034396	27.7877
NIC267	2034480	42.2456
NIC268	2034415	30.0758
NIC269	2034410	32.55
NIC271	2034298	26.5994
NIC272	2034446	42.8601
NIC274	2034505	40.6328
NIC275	2034440	40.627
NIC276	2034424	33.9394
NIC277	2034454	28.8308
NIC3	2034483	56.3876
NIC501	2034374	28.7587
NIC511	2034470	35.606
NIC513	2034463	45.3051
NIC514	2034375	28.4666
NIC515	2034376	31.9949
NIC522	2034474	28.232
NIC523	2034423	35.7282
NIC526	2034424	28.289
NIC527	2034470	39.2897
NIC528	2034437	43.3196
NIC529	2034495	33.7491
PB303	2034471	40.8669
PB306	2034476	37.1385
PS2025	2034430	40.9635
PX179	2034510	40.919
QG2075	2034444	47.8424
QG2811	2034431	54.3516
QG2813	2034451	48.7547
QG2818	2034492	35.6535
QG2823	2034411	53.2383
QG2824	2034461	32.4716
QG2825	2034386	31.392
QG2827	2034381	55.2633
QG2828	2034309	30.5493
QG2832	2034452	64.6427
QG2835	2034366	50.6741
QG2836	2034368	30.3593
QG2837	2034378	36.0758
QG2838	2034411	36.5094
QG2841	2034452	62.7027
QG2843	2034490	31.1356
QG2846	2034423	66.3305
QG2850	2034486	52.6905
QG2854	2034434	64.9109
QG2855	2034365	31.514
QG2857	2034356	29.1914
QG2873	2034428	54.5643
QG2874	2034378	30.94
QG2875	2034431	53.7948
QG2877	2034434	54.7626
QG2932	2034478	62.351
QG536	2034481	53.3086
QG556	2034395	45.0199
QG557	2034441	32.8392
QW947	2034358	29.0872
QX1211	2034426	78.9165
QX1212	2034475	85.5718
QX1233	2034499	39.6877
QX1791	2034447	55.4361
QX1792	2034472	54.3504
QX1793	2034444	42.7608
QX1794	2034427	47.2292
RC301	2034480	65.0471
WN2001	2034442	57.7554
WN2002	2034421	34.0144
WN2033	2034440	51.434
WN2050	2034446	55.0371
WN2063	2034499	37.4595
WN2064	2034499	35.6254
WN2066	2034482	53.9292
XZ1513	2034374	31.4466
XZ1514	2034244	33.2589
XZ1515	2034365	29.3261
XZ1516	2034070	30.311
XZ1672	2034426	27.1118
XZ1734	2034309	33.2642
XZ1735	2034389	28.4302
XZ1756	2034363	29.269
XZ2018	2034448	29.8051
XZ2019	2034245	33.2754
XZ2020	2034422	25.5743
