strain	latitude	longitude	isolation_date
BRC20113	24.124167	121.283056	5/9/14
DR1344	44.85	0.48	NA
RW7000	44.85	0.48	NA
JU1563	48.7006	2.1804	9/9/08
CB3198	34.13712	-118.12532	1/1/73
DR1350	34.13712	-118.12532	1/1/73
ECA245	34.171	-118.131	5/1/74
CB3196	NA	NA	5/1/74
CB3197	NA	NA	5/1/74
ECA260	21.33	-157.86	8/1/72
CB3199	34.13712	-118.12532	1/1/73
DR1345	34.096	-117.719	11/1/72
ECA249	34.096	-117.719	11/1/72
AB2	-34.93	138.59	1/1/83
AB3	-34.93	138.59	1/1/83
AB4	-34.93	138.59	1/1/83
CX11258	34.13531	-118.30582	9/1/03
CX11278	34.13531	-118.30582	9/1/03
CX11305	34.13531	-118.30582	9/1/03
CX11317	34.13531	-118.30582	9/1/03
ECA247	37.43	-122.13	1/1/82
JU1960	34.18973	-118.131319	11/30/08
CX11294	34.12946	-118.10987	9/1/03
CX11319	34.13712	-118.12532	9/1/03
CX11316	34.20111	-118.21198	9/1/03
CX11321	34.14331	-118.05496	9/1/03
CX11259	34.13531	-118.30582	2/1/04
CX11268	34.130138	-118.114835	9/1/03
ECA190	19.423889	-155.2225	7/9/14
ECA192	19.424444	-155.221944	7/9/14
ECA193	19.424444	-155.221944	7/9/14
ECA393	19.449831	-155.235493	5/17/16
ECA395	19.449831	-155.235493	5/17/16
ECA339	44.8358	0.4948	1/1/49
ECA350	32.765353	-117.235442	2/9/16
ECA394	19.449831	-155.235493	5/17/16
ECA397	19.449831	-155.235493	5/17/16
ECA398	19.449831	-155.235493	5/17/16
ECA399	19.449831	-155.235493	5/17/16
ECA702	22.123283	-159.656428	8/11/17
ECA822	20.038831	-155.438922	8/13/17
ECA711	19.423864	-155.222478	8/14/17
ECA713	19.423864	-155.222478	8/14/17
ECA714	19.423864	-155.222478	8/14/17
ECA715	19.423864	-155.222478	8/14/17
ECA728	19.424272	-155.221661	8/14/17
ECA729	19.424272	-155.221661	8/14/17
ECA725	19.439144	-155.303825	8/14/17
